activities,datetime,id,imageCount,region,tags,title,username,area.id,area.name,area.slug,location.latitude,location.longitude,observations.avalanche,observations.incident,observations.quick,observations.snowpack,observations.weather
,2016-11-27T23:51:00Z,1020e6ff-55cf-4eb2-921e-dd4c258c73ed,0,,['snowConditions'],Ymir Bowl,canoewood,,,,49.26,117.07,0,0,1,1,1
,2016-11-27T23:43:00Z,5b7173c3-ea9d-43aa-8522-a5f38f36b2de,0,Kootenay Boundary,['snowConditions'],Baldy Rocks West,amber_cooke,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.052,-117.034,0,0,1,0,0
,2016-11-27T22:44:00Z,bc2763e1-07ab-4921-ab3b-c06a5cf8306d,0,Northwest Coastal,['snowConditions'],Shames backcountry,chataway.mike,0911afed-1bf5-4b46-8ad9-cc012b3d289a,Northwest Coastal,northwest-coastal,54.50261196733465,-128.96099863382915,0,0,1,0,0
,2016-11-27T22:36:00Z,8f49fa50-ff9e-4ac4-9a6f-6b8448e3c1e0,0,South Coast Inland,['snowConditions'],auto: Quick Report,Pie Boy,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.4093469499652,-122.44792030342067,0,0,1,0,0
,2016-11-27T22:15:53Z,1c9bc54b-feff-473f-9780-4f9a04883d53,1,Kananaskis Country,['snowConditions'],Black Prince Trees,rwolansky,2e710073-a73a-49d1-9603-0c0b5ff90033,Kananaskis Country,kananaskis,50.713,-115.231,0,0,1,0,0
,2016-11-27T22:00:00Z,a8cde7a1-24ec-4ff6-af27-340a0dd7491d,0,Lizard-Flathead,['snowConditions'],Rad chutes Harvey Pass,ryley_david,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.197,-114.768,0,0,1,1,1
,2016-11-27T21:59:00Z,d429eace-6a10-477e-b623-0c444cba96dc,0,South Columbia,['snowConditions'],Paint lake / the ledge /Area 51,lionelbirkenbach,62777591-fe26-4e65-bee6-6387efa353f3,South Columbia,south-columbia,50.481104398126575,-118.07727813720703,0,0,1,0,0
,2016-11-27T21:41:00Z,111eb2ec-5423-48be-9095-b0f0c38fa0bd,0,Lizard-Flathead,['snowConditions'],Harvey Pass,amurland,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.265,-114.718,1,0,0,1,1
,2016-11-27T21:00:00Z,1d894e21-095b-4026-9e53-bdab4845d284,0,Kananaskis Country,['snowConditions'],Highwood Pass,brad_duska,2e710073-a73a-49d1-9603-0c0b5ff90033,Kananaskis Country,kananaskis,50.595,-115.02,0,1,0,0,0
,2016-11-27T20:28:00Z,a56f83b7-add8-49a4-8e9a-cc442dfc63e2,0,South Coast Inland,['snowConditions'],Cayoosh,liam.cook7,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.391,-122.521,0,0,1,0,0
,2016-11-27T19:45:43Z,21d68a10-9f6a-4572-9fb0-10ef4e3f2a53,0,Sea to Sky,['snowConditions'],Northwest of Hanging Lake,Zack Wentz,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,50.153,-123.088,0,0,0,1,0
,2016-11-27T19:07:00Z,23a142fc-b69f-45eb-ab01-70747983d77f,0,Glacier National Park,['snowConditions'],Ursus area,Mark Klassen,glacier,Glacier National Park,glacier,51.298,-117.569,1,0,0,1,1
,2016-11-27T18:25:00Z,17b30fa2-eab2-4192-8c1a-daa8ba953177,0,North Rockies,['snowConditions'],Powderking,dansoicher,69c9e943-4fdf-493d-8ff0-e9963e6162b8,North Rockies,north-rockies,55.372,-122.647,0,0,1,0,0
,2016-11-27T18:19:00Z,312353f3-8cad-4b32-9af1-c2c50e4b5661,0,North Columbia,['snowConditions'],Sale mtn,lionelbirkenbach,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.15867686442365,-118.11676025390625,0,0,1,0,0
,2016-11-27T16:34:00Z,ea2d8a3e-e9db-4a8e-8220-af594bc1b6e5,0,North Columbia,['snowConditions'],Paul Ridge,rlangfor,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.459,-118.278,0,0,1,1,1
