activities,datetime,id,imageCount,region,tags,title,username,area.id,area.name,area.slug,location.latitude,location.longitude,observations.avalanche,observations.incident,observations.quick,observations.snowpack,observations.weather
,2018-01-01T07:00:00Z,c4efa2f0-f99e-4c05-a870-dcb2af4e77ad,0,Northwest Coastal,['snowConditions'],New Years Day Obs,erinrebeccabros,0911afed-1bf5-4b46-8ad9-cc012b3d289a,Northwest Coastal,northwest-coastal,54.521081495443596,-128.583984375,0,0,1,0,0
,2018-01-01T04:13:00Z,a01ecd2f-d93f-487b-8a0b-8625d7974957,0,Glacier National Park,['snowConditions'],auto: Quick Report,trentbeckmancross,glacier,Glacier National Park,glacier,51.2365433717909,-117.4569704607711,0,0,1,0,0
,2018-01-01T04:01:00Z,11549359-fa49-4965-bd74-31aa95dbb3cd,0,South Coast Inland,['snowConditions'],Quick ski tour east of Manning,ryan.morasiewicz,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,49.14443611951108,-120.6302261352539,0,0,1,0,0
,2018-01-01T02:22:00Z,55dac774-9073-4c82-b89a-55b777fc3be0,3,North Columbia,['snowConditions'],Crowfoot,vernoncrateescape,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.012512663835594,-119.2814826965332,0,0,1,0,0
,2018-01-01T02:15:00Z,61ddbc11-349a-4385-a702-60af4d65cfc1,0,North Columbia,['snowConditions'],Crowfoot-updated,vernoncrateescape,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.036860465296506,-119.26483154296875,0,0,1,0,0
,2018-01-01T00:19:00Z,772f8d04-1934-4eb1-b8cc-9a3dff0bb5e7,0,Northwest Coastal,['snowConditions'],Shames AST course,ryanbougie,0911afed-1bf5-4b46-8ad9-cc012b3d289a,Northwest Coastal,northwest-coastal,54.49865795252183,-128.96352767944333,0,0,1,0,0
,2018-01-01T00:00:00Z,a3360172-ee41-4f68-a669-c8ceab5061a1,0,Jasper National Park,['snowConditions'],Bow Summit Couloirs,Andreas Massitti,jasper,Jasper National Park,jasper,52.16557,-117.08292,0,0,1,0,0
,2017-12-31T23:00:00Z,cd0b0ae0-15d5-4311-81c9-084b5b92e7dd,0,Northwest Coastal,['snowConditions'],NYE Obs,erinrebeccabros,0911afed-1bf5-4b46-8ad9-cc012b3d289a,Northwest Coastal,northwest-coastal,54.52745749948722,-128.64166259765625,0,0,1,0,0
,2017-12-31T22:00:00Z,fe5a1084-1445-4e3b-b9b5-10054d9d1d14,5,Sea to Sky,['snowConditions'],Garibaldi Lake,mdbrad,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,49.94257,-123.05655,0,0,1,0,0
,2017-12-31T22:00:00Z,ab3071a5-2f0f-4a4e-9d88-9cd5680782b7,3,Kootenay Boundary,['snowConditions'],Kootenay Pass,cadamson,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.09163,-117.03016,0,0,1,0,0
,2017-12-31T22:00:00Z,8bf24bdc-4b10-498a-80b5-0eb6e93d1d59,1,Lizard-Flathead,['snowConditions'],Rolling Hills Cabin,Ryan Selvig,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.43867,-114.80286,0,0,1,0,0
,2017-12-31T21:30:00Z,7f6c0fa1-16f3-48fa-adda-076d0b2dc35d,1,Purcells,['snowConditions'],Goldie Lake area,jc_morel,63f12039-92fd-40b0-a0fb-4f558d626409,Purcells,purcells,50.41897,-116.18078,1,1,0,1,1
,2017-12-31T21:00:00Z,05029b7f-a283-417c-9553-11c5f7a04685,3,South Coast Inland,['snowConditions'],Cayoosh Pass,leetlau,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.36715,-122.46565,0,0,1,0,0
,2017-12-31T20:01:00Z,31522414-5745-4f5d-a412-7e23e3f464cc,0,South Coast Inland,['snowConditions'],Chief Pascal Shoulder (Cayoosh Pass?),ngottlieb,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.36627,-122.45954,0,0,1,0,0
,2017-12-31T19:45:00Z,518b9555-8f91-4ce7-a13f-9a34cc1fe696,0,North Columbia,['snowConditions'],Gorge,tpalechuk,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.02999,-118.81247,0,0,1,0,0
,2017-12-31T19:30:00Z,28765bb1-2d81-43fe-b516-2537004b3bf6,0,Kananaskis Country,['snowConditions'],Fist Ridge/Tryst Chutes,david.yexley,2e710073-a73a-49d1-9603-0c0b5ff90033,Kananaskis Country,kananaskis,50.813,-115.36771,0,0,1,1,1
,2017-12-31T16:00:00Z,0666c136-9cde-4e39-ab06-727470d756af,4,South Coast Inland,['snowConditions'],Thar Peak,vanndemarco,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,49.60875,-121.08132,0,0,1,1,1
,2017-12-31T13:40:00Z,8381b4f5-f27d-40de-b98e-f3c664b4ba07,4,Kootenay Boundary,['snowConditions'],Power Ridge Avalanche,Jérôme Lanouette,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.07937,-117.06434,1,1,1,0,1
,2017-12-30T22:34:53Z,78d1f779-6d64-4ea1-9329-b596cc7dd524,2,,['snowConditions'],Secondary north chutes,Kai Saunders,,,,49.37071,-119.91004,0,0,1,0,0
,2017-12-30T22:00:00Z,f9114269-d307-48b5-92aa-b6d0780c086b,0,Glacier National Park,['snowConditions'],Terrain trap burial,paigeleannejackson,glacier,Glacier National Park,glacier,51.304701411400174,-117.53911972045898,0,0,1,0,0
,2017-12-30T22:00:00Z,4649d198-d324-4ee1-8ad4-7f06c5a4bcde,0,South Coast,['snowConditions'],Compression Test  near St. Mark's Summit,csuter5,5ab6602b-ad84-440b-888e-e1a01f535cab,South Coast,south-coast,49.37477,-123.24605,0,0,1,0,0
,2017-12-30T21:30:00Z,0e9ebf43-8896-4a65-8096-ca100fbfd20b,1,"Banff, Yoho, and Kootenay National Parks",['snowConditions'],Sunshine Snow profile,william.lawson,,,,51.090289,-115.755343,0,0,0,1,0
,2017-12-30T21:00:00Z,16f8944f-2244-419a-9558-29f96021369b,2,South Coast Inland,['snowConditions'],Cayoosh Paa,leetlau,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.37969,-122.46838,0,0,1,0,0
,2017-12-30T20:00:00Z,ae45d6c2-eec8-4110-b192-60944f9fbe1b,2,Cariboos,['snowConditions'],Eagle Pass Area Ski Cut,phil.tomlinson,ef141791-2352-4fcc-a1ef-86ed440e6240,Cariboos,cariboos,51.81,-119.84,1,0,1,0,0
,2017-12-30T19:00:00Z,76ebf9d2-6e99-43f2-9b1a-0366616cb064,3,Lizard-Flathead,['snowConditions'],Unsuccessfully Dodging Stumps in Stumpland,Martina,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.44148,-114.89847,0,0,1,0,0
,2017-12-30T19:00:00Z,afec4142-5089-43b3-9443-fa00d345fc2a,0,Purcells,['snowConditions'],Hellroaring,cordillera.tech,63f12039-92fd-40b0-a0fb-4f558d626409,Purcells,purcells,49.51588,-116.28146,0,0,1,0,0
,2017-12-30T18:00:00Z,b57520dd-f570-449c-baba-7675a094c5c6,0,Sea to Sky,['snowConditions'],Elfin Lakes Hut / Gargoyles,Eric Sanderson,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,49.7933,-122.99183,0,0,1,0,0
,2017-12-30T18:00:00Z,0c2c20a0-176d-443f-ad7f-839e8bb655e2,1,Kootenay Boundary,['snowConditions'],Kootenay Pass,john.mcmechan,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.06409,-117.04065,0,0,1,0,0
,2017-12-30T07:00:00Z,84f16ea4-1234-416d-a8ae-587d165c325c,0,Northwest Coastal,['snowConditions'],auto: Quick Report,erinrebeccabros,0911afed-1bf5-4b46-8ad9-cc012b3d289a,Northwest Coastal,northwest-coastal,54.52586359181555,-128.6224365234375,0,0,1,0,0
,2017-12-29T23:50:00Z,7e2e1ab1-3cc3-4aac-8096-98a076c48911,0,South Coast Inland,['snowConditions'],In bounds at Manning,ryan.morasiewicz,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,49.07205256548982,-120.92453956604002,0,0,1,0,0
,2017-12-29T22:16:00Z,6fcbda8f-fe3d-4dca-b42b-0daf0b449611,0,Lizard-Flathead,['snowConditions'],Corbin Pow,clay.geddert,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.53155930863755,-114.71099853515625,0,0,1,0,0
,2017-12-29T21:00:00Z,07dd9d50-d603-4c8e-96cf-3026d1a193d5,0,Sea to Sky,['snowConditions'],Cowboy Ridge - Crabbe line; Singing Pass,leetlau,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,50.04929,-122.9071,0,0,1,0,0
,2017-12-29T19:59:00Z,7412532d-7cfc-4891-8888-0e7953fbcacd,0,Glacier National Park,['snowConditions'],Connaught creek,alpineairadventures,glacier,Glacier National Park,glacier,51.2948,-117.57208,0,0,1,0,0
