activities,datetime,id,imageCount,region,tags,title,username,area.id,area.name,area.slug,location.latitude,location.longitude,observations.avalanche,observations.incident,observations.quick,observations.snowpack,observations.weather
,2021-01-01T07:21:00Z,2800ba01-c9e7-4d60-bd64-b9034d183efb,0,Sea to Sky,['snowConditions'],Hanging Lake,allisongandy,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,50.15372500490403,-123.07529680137424,0,0,1,0,0
,2021-01-01T02:55:00Z,560d3d4c-4e92-4a40-9d34-7134e8958f18,0,,['snowConditions'],Bald Hills,verhoeff,,,,52.74,-117.62,0,0,1,1,0
,2021-01-01T00:00:00Z,cb2a2a2c-b049-4672-91ce-edd398dcc22f,2,little-yoho,['snowConditions'],Guiness Gully/Guiness Stout - Ice Climb,tjmcarleton,,,,51.37744102648682,-116.50618591941574,0,0,1,0,0
,2021-01-01T00:00:00Z,42841038-cbe9-4b87-b4e7-d7891f0d8564,2,South Coast,['snowConditions'],Sky pilot trees,casey.engstrom,5ab6602b-ad84-440b-888e-e1a01f535cab,South Coast,south-coast,49.64490266652669,-123.07751710721438,0,0,1,0,0
,2021-01-01T00:00:00Z,351830c5-bd19-4bae-8d41-db322422298b,1,,['snowConditions'],Spray River Falls Ice Climbing,Luka Bogdanovic,,,,51.128280191407185,-115.55522656230674,0,0,1,1,0
,2020-12-31T23:44:00Z,571659ca-23fc-4f33-bd98-d3807d79f08e,1,Glacier National Park,['snowConditions'],teddy bear trees glide crack,erinbutler511,glacier,Glacier National Park,glacier,51.30499,-117.54931,0,0,1,1,0
,2020-12-31T23:00:00Z,7e44904a-99b8-419b-818e-762ee2b606ba,2,Purcells,['snowConditions'],Repeater E Path,Brad Roach,63f12039-92fd-40b0-a0fb-4f558d626409,Purcells,purcells,51.31195,-117.10359,1,0,1,0,0
,2020-12-31T23:00:00Z,18ceaad4-5cb7-4d40-8fa2-dde602833621,2,North Columbia,['snowConditions'],Goldstream Goodness,ghelgeson,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.67782160614084,-118.58522024816199,0,0,1,0,0
,2020-12-31T23:00:00Z,f126f283-2792-493a-963a-163b71374ea8,2,Sea to Sky,['snowConditions'],Last Ski of 2020,Scott McKenzie,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,49.760041866646674,-123.02947032136436,0,0,1,0,0
,2020-12-31T22:58:00Z,5b3a6b14-f0fc-4ad3-af39-51e2c9e8a565,1,Purcells,['snowConditions'],Quick Pit Upper McMurdo,meganderson90,63f12039-92fd-40b0-a0fb-4f558d626409,Purcells,purcells,51.037149461999405,-117.13998617326446,0,0,1,1,1
,2020-12-31T22:30:00Z,0660e6a2-9722-4bbb-8360-6a9d24993b99,3,North Rockies,['snowConditions'],Torpy Burn,ben-hawkins,69c9e943-4fdf-493d-8ff0-e9963e6162b8,North Rockies,north-rockies,54.035390786326104,-121.25575399763997,0,0,1,0,0
,2020-12-31T22:05:00Z,f4c5040e-cbce-4d96-bb95-540434c7dd72,3,North Rockies,['snowConditions'],Berg Lake / Anne-Allice,Alan Lerchs,69c9e943-4fdf-493d-8ff0-e9963e6162b8,North Rockies,north-rockies,53.165423197885104,-119.17600164722478,0,0,1,1,1
,2020-12-31T22:00:00Z,bb1daa5f-3aef-487e-bf9d-fda64141d9a9,2,Glacier National Park,['snowConditions'],Hermit,pbastia,glacier,Glacier National Park,glacier,51.32879228791856,-117.53040678461754,0,0,1,0,0
,2020-12-31T21:45:50Z,ab211b10-c656-44bd-8ace-1e79ad873cb8,2,Yukon,['snowConditions'],Into the Alpine.,Yukon Field Team,0b23a25d-0346-4fa4-8412-faa4c3581d2a,Yukon,yukon,59.58588,-135.01777,0,0,1,0,0
,2020-12-31T21:30:00Z,b7886832-ee28-4fbd-a03b-89455b3520f5,1,Waterton Lakes National Park,['snowConditions'],Experts Choice Photo,Waterton Visitor Safety,waterton,Waterton Lakes National Park,waterton,49.07771,-113.94592,0,0,1,0,0
,2020-12-31T21:20:00Z,2f3029c7-d5b6-4511-ac01-40d60fee9d79,2,"Banff, Yoho, and Kootenay National Parks",['snowConditions'],Healy alpine SSV,bryan.daneau,,,,51.09743,-115.843522,0,0,1,0,0
,2020-12-31T21:00:00Z,6d67f0c2-f643-4a2d-8eb6-2d52ebe6c68f,0,South Coast Inland,['snowConditions'],Chief Pascal,schissler99,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.35868,-122.43155,0,0,1,0,0
,2020-12-31T21:00:00Z,7375cadb-5e50-46b7-955f-45954db186b3,6,Glacier National Park,['snowConditions'],Cheops North - Chance - Hill Couloir,Meshwell Boschmann,glacier,Glacier National Park,glacier,51.28711851761054,-117.55816587852276,0,0,1,0,1
,2020-12-31T21:00:00Z,e0683fa3-b37f-4117-ab14-bc3b78d7ebc2,0,South Columbia,['snowConditions'],The Fingers - Revelstoke,22samir18daniel6,62777591-fe26-4e65-bee6-6387efa353f3,South Columbia,south-columbia,50.93463821007148,-118.26148568345462,1,0,1,0,0
,2020-12-31T21:00:00Z,14b9fcd2-379f-4ab1-a9e6-796ff88ee9ba,2,Lizard-Flathead,['snowConditions'],Claggy Tunnel Creek,mattszczepanski.ms,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.35178071044302,-115.05786712890686,0,0,1,0,0
,2020-12-31T21:00:00Z,49fd2d5f-40b6-4b55-ba47-70bac8690de0,0,Kootenay Boundary,['snowConditions'],Plewman,packhamavalancheconsulting,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.17552,-117.8764,0,0,1,0,0
,2020-12-31T20:37:00Z,73680559-3663-49f8-9474-785825fb22a8,2,Sea to Sky,['snowConditions'],Decker,leetlau,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,50.06683,-122.86172,0,0,1,0,0
,2020-12-31T20:20:11Z,81202207-657f-4b55-bc8a-06d3020e8732,1,Kootenay Boundary,['snowConditions'],Evening Ridge,arctosguides,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.45887,-117.1861,0,0,0,1,0
